song_id,user_id,car,gym,happy,night,relax,running,sad,summer,work,workout,title,artist,spotify_track_id,spotify_artist_id,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,year,release_date
491048782,8051,0,0,0,0,0,0,0,0,0,1,Horizon,Seven Lions,4c1gzL3WjUCmUVDud6Aste,4c1gzL3WjUCmUVDud6Aste,False,0.384,0.755,10.0,-5.381,0.0,0.101,0.019,0.000183,0.186,0.116,169.984,271059.0,,
6812365,59527,0,0,0,0,0,0,1,0,0,0,E.T.,Katy Perry,4z8ssgZfs5TzKiO8HaGWXO,4z8ssgZfs5TzKiO8HaGWXO,False,0.603,0.872,5.0,-5.404,0.0,0.0792,0.0213,0.0,0.366,0.691,150.104,206373.0,,
78016567,10796,0,1,0,0,0,0,0,0,0,0,Youth,Foxes,46F2qArLwz8WT1qJ2bNRfR,46F2qArLwz8WT1qJ2bNRfR,False,0.53,0.55,0.0,-6.631,0.0,0.0457,0.00747,0.000492,0.0898,0.208,139.98,239227.0,,
77234503,31678,0,0,0,0,0,1,0,0,0,0,The Final Countdown,Europe,3MrRksHupTVEQ7YbA0FsZK,3MrRksHupTVEQ7YbA0FsZK,False,0.529,0.843,6.0,-6.908,0.0,0.0616,0.0628,0.000827,0.0608,0.188,117.662,310333.0,,
906587,56585,0,0,0,1,0,0,0,0,0,0,Maniac ,Michael Sembello,0QKfiqpEU4h9ycPSzIFwYe,0QKfiqpEU4h9ycPSzIFwYe,False,0.617,0.533,3.0,-11.516,0.0,0.0651,0.0891,4.04e-06,0.0415,0.835,158.86,244707.0,,
418203452,58838,0,0,0,0,1,0,0,0,0,0,Nevermind,Dennis Lloyd,63SevszngYpZOwf63o61K4,63SevszngYpZOwf63o61K4,False,0.6,0.688,5.0,-8.339,0.0,0.201,0.159,1.29e-05,0.409,0.0793,99.977,156600.0,,
2960233,49849,0,0,0,0,0,1,0,0,0,0,Pump It ,Black Eyed Peas,6btyEL6NwUa97Nex9cZFvo,6btyEL6NwUa97Nex9cZFvo,False,0.649,0.931,1.0,-3.15,0.0,0.181,0.0093,0.0,0.751,0.744,153.645,213067.0,,
117262964,9176,0,0,0,0,0,0,0,0,1,0,The Animal Song,Savage Garden,5TuzQ44lPWTCKbfXbNIEXg,5TuzQ44lPWTCKbfXbNIEXg,False,0.652,0.669,6.0,-7.663,1.0,0.037,0.0639,3.83e-06,0.0671,0.834,116.088,278000.0,,
991491,42609,0,0,0,0,1,0,0,0,0,0,Sambolera Mayi Son,Khadja Nin,7u6uhxBy0p8MAj5xDno3pZ,7u6uhxBy0p8MAj5xDno3pZ,False,0.481,0.368,7.0,-12.328,0.0,0.0332,0.168,0.0532,0.0896,0.136,159.913,301640.0,,
79125311,60843,0,0,0,0,1,0,0,0,0,0,Make Me Fade,K.FLAY,5vzR1lfJZVMATd0NYyVgY6,5vzR1lfJZVMATd0NYyVgY6,True,0.583,0.64,2.0,-7.803,1.0,0.201,0.228,0.0,0.246,0.235,80.012,246373.0,,
66901243,23310,0,0,0,0,1,0,0,0,0,0,Wanna Be On Your Mind,Valerie June,0sEkBF6SBgYoHTpJ7wfaXs,0sEkBF6SBgYoHTpJ7wfaXs,False,0.599,0.554,11.0,-6.607,0.0,0.0305,0.234,0.0253,0.213,0.799,150.609,236347.0,,
72160308,5987,0,1,0,0,0,0,0,0,0,0,Rhyme Or Reason,Eminem,45JxylFwaThjLsRBuzcfoL,45JxylFwaThjLsRBuzcfoL,True,0.845,0.835,4.0,-3.814,0.0,0.241,0.129,0.0,0.0552,0.6,116.927,301721.0,,
609833972,17096,0,0,0,0,1,0,0,0,0,0,Ride for Me ,Ann Marie,5jc7RtrvVzBYuMMgutkvdd,5jc7RtrvVzBYuMMgutkvdd,True,0.661,0.614,6.0,-6.714,1.0,0.0433,0.137,0.0,0.113,0.346,94.954,203707.0,,
427246202,14040,0,1,0,0,0,0,0,0,0,0,Whatever It Takes ,Imagine Dragons,6Qn5zhYkTa37e91HC1D7lb,6Qn5zhYkTa37e91HC1D7lb,False,0.672,0.655,10.0,-5.021,0.0,0.0311,0.0362,0.0,0.117,0.556,134.945,201240.0,,
935243,22206,0,0,0,0,0,0,0,0,1,0,I Luv U,Dizzee Rascal,4EqqHNzPaLpdVk7FgdQHXo,4EqqHNzPaLpdVk7FgdQHXo,True,0.736,0.914,7.0,-3.707,1.0,0.285,0.318,0.0,0.0447,0.932,136.068,245080.0,,
916258,37010,0,0,1,0,0,0,0,0,0,0,Sunday Morning,No Doubt,6yCjhDzcVIfxvTjBKhhn7P,6yCjhDzcVIfxvTjBKhhn7P,False,0.581,0.806,4.0,-5.44,1.0,0.0309,0.0118,8.84e-06,0.124,0.779,157.129,273067.0,,
440164522,11467,0,0,0,0,0,0,0,0,0,1,1000,N.E.R.D,6epMDLTE0OtSEZeLziJyQm,6epMDLTE0OtSEZeLziJyQm,True,0.699,0.89,6.0,-3.525,1.0,0.226,0.112,0.0,0.12,0.721,168.07,243853.0,,
